년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2017-01-01,서귀포시,남원읍,건강보조식품 소매업,남성,11,137500,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,천지동,건강보조식품 소매업,여성,61,12334400,322174.545,41631.7,685753.012,2020-12-15
2017-01-01,서귀포시,대정읍,기타음식료품위주종합소매업,남성,555,17301300,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,기타 주점업,남성,324,71843080,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,기타 외국식 음식점업,남성,40,971000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,그외 기타 종합 소매업,남성,1,300000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,남성,7,270000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대륜동,일반유흥 주점업,여성,33,2149000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대정읍,비알콜 음료점업,남성,607,11502400,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대륜동,일식 음식점업,여성,67,3616000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,중식 음식점업,여성,284,6384090,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,차량용 가스 충전업,여성,95,2935698,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,차량용 주유소 운영업,여성,1356,63745839,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,남성,1,12000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,체인화 편의점,여성,4372,39788940,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,한식 음식점업,여성,3623,141227458,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,전시 및 행사 대행업,여성,109,11056500,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,호텔업,여성,5,411000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대정읍,빵 및 과자류 소매업,남성,1500,18671840,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,수산물 소매업,남성,464,39956000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대륜동,여행사업,남성,2,158750,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,여관업,남성,532,48851286,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,화장품 및 방향제 소매업,남성,5,1130000,2883789.237,358895.2470000001,2643751.353,2020-12-15
2017-01-01,서귀포시,대륜동,여행사업,여성,9,1010750,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,욕탕업,여성,33,4343000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대륜동,육류 소매업,여성,2,33000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대정읍,서양식 음식점업,남성,653,20211420,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,전시 및 행사 대행업,남성,29,207100,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,일반유흥 주점업,남성,442,88574000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,육류 소매업,남성,269,14477200,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,욕탕업,남성,24,1052200,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,여관업,남성,220,20887700,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,남성,276,18447400,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,슈퍼마켓,남성,6618,198362026,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,일식 음식점업,남성,411,39270500,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대륜동,화장품 및 방향제 소매업,여성,4,970000,3350002.954,342205.904,2293706.724,2020-12-15
2017-01-01,서귀포시,대정읍,건강보조식품 소매업,남성,9,1668800,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,과실 및 채소 소매업,남성,150,7828280,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,남원읍,일반유흥 주점업,남성,112,22664140,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,육류 소매업,남성,332,21503730,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,욕탕업,남성,9,99600,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,골프장 운영업,남성,1988,285901584,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,서귀포시,남원읍,과실 및 채소 소매업,남성,685,49486002,4365500.518,380992.059,2844836.615,2020-12-15
2017-01-01,제주시,도두동,자동차 임대업,여성,1320,81767143,436753.002,58193.98,1287564.919,2020-12-15
2017-01-01,서귀포시,남원읍,일식 음식점업,남성,361,34759000,4365500.518,380992.059,2844836.615,2020-12-15
